123moviesite.one,
0gomovies.vc,
1password.com,
0x3.com,False
247sports.com,
10000.gd.cn,
3dzip.org,True
1000fapvids.com,False
9gag.com,
104.ua,
a-ads.com,
10downloader.com,
abcnews.go.com,
10fastfingers.com,False
acefile.co,
118book.com,
adaderana.lk,
11zon.com,False
admin.sample-cube.com,
12ft.io,False
adsterra.com,
180dyw.com,False
agar.io,
18comic.org,
allmylinks.com,
1fichier.com,False
alphacoders.com,
1inch.io,False
anilist.co,
1movieshd.cc,False
anotepad.com,
1stream.eu,False
apkadmin.com,
1x-bet.in,
apnews.com,
1x001.com,
arstechnica.com,
22pixx.xyz,False
asana.com,
24kdh.cn,
auth0.com,
2ch-c.net,
autohotkey.com,
2nt.com,False
avistaz.to,
3dsecure.az,
babia.to,True
3dsky.org,False
backlinko.com,
3hentai.net,False
best-hashtags.com,
3txxx.com,False
beta.emojipedia.org,True
4anime.gg,False
bingx.com,
4chan.org,
brill.com,
4download4.com,False
bulbagarden.net,
4horlover.com,
byjus.com,
4kporn.xxx,False
captchamaker.com,
4porn.com,False
cashkaro.com,
500px.com,False
cenreader.com,
590m.com,
circleci.com,
5sim.net,False
clipdrop.co,
7-zip.org,False
cloudinary.com,
7news.com.au,False
codelist.cc,
8ballpool.com,False
cointelegraph.com,
9anime.pl,
collegedunia.com,
9anime.se,False
collegenet.com,
9animetv.to,False
collider.com,
9hentai.com,False
colorlib.com,
9to5mac.com,False
comicbook.com,
aadika.xyz,
core.ac.uk,
aarth.net,False
deadline.com,
about.ads.microsoft.com,False
decider.com,
about.appsheet.com,False
deepdreamgenerator.com,
about.gitlab.com,False
digg.com,
about.start.me,False
dllplayer.com,
absin.cn,False
dndbeyond.com,
accounts.myclickfunnels.com,False
dos.fl.gov,
actvid.com,
dotesports.com,True
acuityscheduling.com,False
downdetector.com,
adbtc.top,False
drivepedia.com,
adfoc.us,False
ebaumsworld.com,
adguard-dns.io,False
edhrec.com,
adguard.app,False
edition.cnn.com,
adguard.com,False
einthusan.tv,
admhmao.ru,
elements.envato.com,
admob.google.com,False
en.islcollective.com,
adsco.re,
en.pinkoi.com,
adultdeepfakes.com,False
en.uesp.net,
adultwork.com,False
en.y2mate.is,
aeromexico.com,
ew.com,
agacelebir.com,
exlibrisgroup.com,
ahcdn.com,False
f95zone.to,
ahrefs.com,False
family-simulators.io,
aib.ie,False
fap-nation.com,
aigeno.com,False
flightsim.to,
ais.usvisa-info.com,
flutterwave.com,
ak.bewathis.com,
foodnetwork.co.uk,
akwam.cc,
fortune.com,
alihunter.io,False
forums.minecraftforge.net,
alinma.com,
funpay.com,
alison.com,False
gab.com,
aliyuncs.com,
gamerant.com,
all-free-download.com,False
gamerescape.com,True
allporncomic.com,False
gbatemp.net,
allthefallen.moe,False
geekuninstaller.com,
altadefinizione.haus,
genius.com,
alternativeto.net,False
gizmodo.com,
altex.ro,False
global.musinsa.com,
amadeus.com,
global.techradar.com,
amazon.jobs,False
globalbunjang.com,
americancoupondeals.com,False
globalnews.ca,
aminoapps.com,False
gopro.com,
amp.dev,False
guard.io,
amplify.com,False
gusto.com,
amsterdam.craigslist.org,False
hackernoon.com,
ancensored.com,False
hangseng.com,
angular.dev,False
hanime.tv,
anilife.live,
hbr.org,
anime-sama.fr,False
hbx.com,
animedao.to,
healthy.kaiserpermanente.org,
animeidhentai.com,False
hentai2read.com,
animekimi.com,
hentaiera.com,
animension.to,False
hentairox.com,
animepahe.ru,False
hindenburgresearch.com,
animesuge.to,
home.cern,
animexin.vip,True
home.pearsonvue.com,
animeyt.pro,False
home.webinarjam.com,
aniwatcher.com,
hotlink.cc,
aniwave.to,
howblogs.xyz,
ankiweb.net,False
hypebeast.com,
anon-v.com,False
hypixel.net,
anonib.al,False
icai.org,
anonymz.com,False
iconscout.com,
answerthepublic.com,False
ignou.ac.in,
ant.design,False
imagehaha.com,
anybunny.org,False
imagetwist.com,
anydesk.com,False
imgur.com,
anyflip.com,False
indianexpress.com,
anysex.com,False
indiatyping.com,
aonprd.com,False
ipaddress.my,
apache.org,False
iwantclips.com,
